"objectid","filename","youtubeid","vimeoid","title","creator","date","description","subject","location","latitude","longitude","source","identifier","type","format","language","rights","rightsstatement"
"coll026","20200810T075009.jpg",,,,"Aquino, Craig Alexander A.","20200810T075009.jpg","Bird","Bird",,,,,"caa_birb_26","Image;StillImage","image/jpeg",,"CC BY-NC 3.0","https://creativecommons.org/licenses/by-nc/3.0/"
"coll027","20200810T080147.jpg",,,,"Aquino, Craig Alexander A.","20200810T080147.jpg","Bird","Bird",,,,,"caa_birb_27","Image;StillImage","image/jpeg",,"CC BY-NC 3.0","https://creativecommons.org/licenses/by-nc/3.0/"
"coll028","20200810T080727.jpg",,,,"Aquino, Craig Alexander A.","20200810T080727.jpg","Bird","Bird",,,,,"caa_birb_28","Image;StillImage","image/jpeg",,"CC BY-NC 3.0","https://creativecommons.org/licenses/by-nc/3.0/"
"coll029","20200811T064154.jpg",,,,"Aquino, Craig Alexander A.","20200811T064154.jpg","Bird","Bird",,,,,"caa_birb_29","Image;StillImage","image/jpeg",,"CC BY-NC 3.0","https://creativecommons.org/licenses/by-nc/3.0/"
"coll030","20200812T065801.jpg",,,,"Aquino, Craig Alexander A.","20200812T065801.jpg","Bird","Bird",,,,,"caa_birb_30","Image;StillImage","image/jpeg",,"CC BY-NC 3.0","https://creativecommons.org/licenses/by-nc/3.0/"
"coll031","20200814T061830.jpg",,,,"Aquino, Craig Alexander A.","20200814T061830.jpg","Bird","Bird",,,,,"caa_birb_31","Image;StillImage","image/jpeg",,"CC BY-NC 3.0","https://creativecommons.org/licenses/by-nc/3.0/"
"coll032","20200814T063336.jpg",,,,"Aquino, Craig Alexander A.","20200814T063336.jpg","Bird","Bird",,,,,"caa_birb_32","Image;StillImage","image/jpeg",,"CC BY-NC 3.0","https://creativecommons.org/licenses/by-nc/3.0/"
"coll033","20200815T051459.jpg",,,,"Aquino, Craig Alexander A.","20200815T051459.jpg","Not a bird","Not bird",,,,,"caa_notbirb_01","Image;StillImage","image/jpeg",,"CC BY-NC 3.0","https://creativecommons.org/licenses/by-nc/3.0/"
"coll034","20200815T052936.jpg",,,,"Aquino, Craig Alexander A.","20200815T052936.jpg","Not a bird","Not bird",,,,,"caa_notbirb_02","Image;StillImage","image/jpeg",,"CC BY-NC 3.0","https://creativecommons.org/licenses/by-nc/3.0/"
"coll035","20200815T061941.jpg",,,,"Aquino, Craig Alexander A.","20200815T061941.jpg","Bird","Bird",,,,,"caa_birb_33","Image;StillImage","image/jpeg",,"CC BY-NC 3.0","https://creativecommons.org/licenses/by-nc/3.0/"
"coll036","20200821T073116.jpg",,,,"Aquino, Craig Alexander A.","20200821T073116.jpg","Bird","Bird",,,,,"caa_birb_34","Image;StillImage","image/jpeg",,"CC BY-NC 3.0","https://creativecommons.org/licenses/by-nc/3.0/"
"coll037","20200821T073239.jpg",,,,"Aquino, Craig Alexander A.","20200821T073239.jpg","Bird","Bird",,,,,"caa_birb_35","Image;StillImage","image/jpeg",,"CC BY-NC 3.0","https://creativecommons.org/licenses/by-nc/3.0/"
"coll038","20200821T073558.jpg",,,,"Aquino, Craig Alexander A.","20200821T073558.jpg","Bird","Bird",,,,,"caa_birb_36","Image;StillImage","image/jpeg",,"CC BY-NC 3.0","https://creativecommons.org/licenses/by-nc/3.0/"
"coll039","20200821T074412.jpg",,,,"Aquino, Craig Alexander A.","20200821T074412.jpg","Bird","Bird",,,,,"caa_birb_37","Image;StillImage","image/jpeg",,"CC BY-NC 3.0","https://creativecommons.org/licenses/by-nc/3.0/"
"coll040","20200821T074414.jpg",,,,"Aquino, Craig Alexander A.","20200821T074414.jpg","Bird","Bird",,,,,"caa_birb_38","Image;StillImage","image/jpeg",,"CC BY-NC 3.0","https://creativecommons.org/licenses/by-nc/3.0/"
